,walcl,rrp,tga,net_liq,vix,us10y,dxy,net_liq_wow,net_liq_4w,vix_wow,vix_4w,us10y_wow,us10y_4w,dxy_wow,dxy_4w,nq_week_ret,nq_close_pos,nq_week_range,nq_mom_4w,nq_mom_12w,nq_vol_regime,es_nq_spread,realized_vol,fwd_return,fwd_vol,fwd_points,label,nq_1h_drift,nq_1h_vol
2024-09-26,7080.059,389.9548,806.771,6058.286599999999,18.528043956043955,3.674,100.79400024414062,-11.45640000000094,-22.60640000000149,-0.9356402544823617,2.5910594771082565,-0.0059999999999993,-0.1699999999999994,-0.6880004882812614,-0.8740005493164062,0.012180598299668555,0.9999999999968554,0.014818266542404474,0.03622689795869105,-0.012334315169366672,0.2677349855979318,0.007781893012922758,0.008311798116435117,-0.016589002795899366,0.014359044112640692,-356.0,-1.0,0.0001193887347182582,0.0017384401764096165
2024-10-03,7046.925,400.4046,798.277,5883.3332,18.02624719101124,3.76,100.6979995727539,-174.95339999999942,-137.4894000000004,-0.5017967650327186,2.05208789897584,0.0859999999999998,-0.0740000000000002,-0.0960006713867187,-0.2119995117187585,-0.016589002795899366,0.053275109170119565,0.013563779378316907,0.040631163708086726,-0.03006905426677242,0.4799567281352207,-0.007499596086264604,0.014359044112640692,0.020825435936315362,0.023222322222979246,439.5,1.0,-0.00013731066044805003,0.002262554648212451
2024-10-10,7046.84,328.87,802.115,5848.2434,19.652483516483517,3.788,101.21199951171874,-35.08979999999974,-177.5293499999998,1.6262363254722771,2.2085933563004474,0.028,-0.0244999999999997,0.5139999389648438,-0.2880004882812557,0.020825435936315362,0.9283058948466738,0.02185113839441131,0.03755342845102638,0.015448428643814127,0.7888180762768501,0.007566596710164575,0.023222322222979246,-0.002866293777705531,0.016754706528681346,-61.75,0.0,0.00017748110389202457,0.0019336909453008901
2024-10-17,7039.284,288.09275,791.792,5915.8550000000005,19.81431151241535,4.04,102.70599975585938,67.61160000000018,-153.88799999999992,0.1618279959318371,0.350627301889034,0.2519999999999998,0.3600000000000003,1.4940002441406364,1.2239990234375,-0.002866293777705531,0.09377817853888629,0.012906304188439023,0.013206457014161677,0.05775835538868712,0.6059649939849103,-0.012412833157180447,0.016754706528681346,0.0005702514925460811,0.01965753279800003,12.25,0.0,-2.313841622685041e-05,0.0018986398346734269
2024-10-24,7029.408,246.46660000000003,829.991,5959.39925,19.037006802721088,4.055,103.3740005493164,43.54424999999901,-98.88734999999996,-0.7773047096942634,0.5089628466771323,0.0149999999999996,0.3809999999999993,0.6680007934570256,2.580000305175787,0.0005702514925460811,0.4968895800917671,0.01495766260351726,0.0015843429636532846,0.05674848510920727,0.7684982556580988,0.0067657353109206175,0.01965753279800003,-0.016679073229738495,0.02911281888015727,-358.5,-1.0,3.4063190496374347e-07,0.0014538942574111695
2024-10-31,7013.49,230.6194,835.237,5952.950400000001,18.61988425925926,4.184,104.01399993896484,-6.448849999998856,69.6172000000006,-0.4171225434618293,0.5936370682480216,0.1290000000000004,0.4239999999999999,0.6399993896484375,3.316000366210943,-0.016679073229738495,0.0,0.03192496037472499,0.0014926080363912853,0.06520342207718577,1.2314478852373765,0.0014490540772912341,0.02911281888015727,0.056918454732558965,0.023923062928940503,1203.0,1.0,-0.00011653986928821826,0.0019640282001356308
2024-11-07,6994.299,161.6954,842.051,5947.6336,19.148159645232816,4.276000000000001,104.16600036621094,-5.316800000000512,99.39019999999982,0.5282753859735578,-0.5043238712506977,0.0920000000000005,0.4880000000000004,0.1520004272460937,2.954000854492193,0.056918454732558965,0.9999999999991218,0.05097701278062538,0.03690208183442811,0.06894282877343261,1.0190408650146585,0.012599323571322651,0.023923062928940503,-0.009535107549745958,0.006082375158643465,-213.0,-1.0,0.00046886250817542574,0.0018388599382710652
2024-11-14,6967.108,198.7625,832.186,5990.5526,18.09852422907489,4.334,104.23799896240234,42.91899999999987,74.69759999999951,-1.0496354161579262,-1.715787283340461,0.0579999999999989,0.2939999999999996,0.0719985961914062,1.531999206542963,-0.009535107549745958,0.0,0.009920679758649522,0.029967297822570238,0.05890235585493975,0.27548225702068363,-0.005455270743218166,0.006082375158643465,-0.008237101986395823,0.028056205131134288,-182.25,-1.0,-0.0001368624661442965,0.0014493036291048829
2024-11-21,6923.731,195.8908,751.873,5936.159500000001,15.634527472527472,4.4,105.94199981689454,-54.39309999999932,-23.23974999999882,-2.463996756547417,-3.4024793301936143,0.0660000000000007,0.3450000000000006,1.7040008544921932,2.5679992675781307,-0.008237101986395823,0.9999999999970216,0.015300832830141388,0.020901181725132556,0.059561317736814834,1.2327187206961343,-0.006992072065515442,0.028056205131134288,-0.0007519396625386143,0.01263808091227085,-16.5,0.0,-5.018563440890288e-05,0.0024405156557965654
2024-11-28,6905.14,177.41025,775.25,5975.967199999999,16.310512249443207,4.416,106.56600036621094,39.80769999999848,23.01679999999851,0.6759847769157332,-2.309372009816052,0.0159999999999991,0.2319999999999993,0.6240005493164062,2.5520004272460994,-0.0007519396625386143,0.0,0.008231954119967619,0.03743701355539253,0.08120069033530575,0.6133958616404317,-0.007909732810359005,0.01263808091227085,0.030111621649355325,0.013158813513885545,660.25,1.0,5.702648670896098e-05,0.0013036811686141893
2024-12-05,6895.827,157.97740000000002,789.516,5952.47975,15.53158653846154,4.3075,106.85000038146973,-23.48744999999872,4.846150000000307,-0.7789257109816674,-3.616573106771277,-0.1084999999999993,0.0314999999999994,0.2840000152587834,2.684000015258789,0.030111621649355325,0.8835174953943213,0.024040377208128568,0.01112429214137034,0.08780928300523749,0.7121884958293555,0.018333293772648362,0.013158813513885545,0.0078806393057953,0.023940965804393557,178.0,1.0,0.0002304652693164324,0.00106049005495019
2024-12-12,6897.485,160.606,775.067,5948.333600000001,14.686764705882352,4.192,106.1219985961914,-4.1461499999995794,-42.21899999999914,-0.8448218325791874,-3.411759523192538,-0.1154999999999999,-0.1419999999999994,-0.7280017852783232,1.88399963378906,0.0078806393057953,0.6336123631664299,0.017054689215901603,0.028903301620302413,0.07373212116924321,1.3105308350428428,0.012300354392019153,0.023940965804393557,-0.025225126290358002,0.0416687956979116,-574.25,-1.0,9.506850229253277e-05,0.0014686648710829685
2024-12-19,6889.332,121.7382,767.932,5961.812,15.894714285714285,4.23,106.43800048828123,13.478399999999056,25.65249999999924,1.2079495798319329,0.2601868131868112,0.0379999999999993,-0.1700000000000008,0.3160018920898437,0.4960006713867102,-0.025225126290358002,0.0,0.046562193706837306,0.011279094938078993,0.034051724137931005,1.9797133342185347,0.005969134282791999,0.0416687956979116,0.028345143809920703,0.012469925944637033,629.0,1.0,-0.0002896689508522027,0.0028765557068044087
2024-12-26,6885.963,148.04175,764.77,5999.661800000001,17.445503355704698,4.452,107.45200042724608,37.84980000000087,23.69460000000163,1.5507890699904134,1.1349911062614917,0.2220000000000004,0.0360000000000004,1.0139999389648438,0.8860000610351477,0.028345143809920703,0.9556277056256371,0.020245620569901073,0.0407265098566818,0.081299753601213,0.5969194402856538,0.0019561412733033468,0.012469925944637033,-0.036832130062774526,0.011038001726261274,-840.5,-1.0,0.0003481231310815331,0.0026003906072726963
