,walcl,rrp,tga,net_liq,vix,us10y,dxy,net_liq_wow,net_liq_4w,vix_wow,vix_4w,us10y_wow,us10y_4w,dxy_wow,dxy_4w,nq_week_ret,nq_close_pos,nq_week_range,nq_mom_4w,nq_mom_12w,nq_vol_regime,es_nq_spread,realized_vol,fwd_return,fwd_vol,fwd_points,label,nq_1h_drift,nq_1h_vol,nq_lev_net_pct,nq_lev_wow,nq_lev_4w,nq_lev_pctile,nq_asset_mgr_net_pct,nq_positioning_signal,es_lev_net_pct,es_lev_wow,es_lev_4w,es_lev_pctile,es_asset_mgr_net_pct,es_positioning_signal
2023-03-16,8639.3,2095.9546,232.866,5814.933399999999,19.67837471783296,3.966,105.09199981689451,20.27759999999944,-69.16220000000158,-1.5470116458034049,-1.0016025548943157,-0.0099999999999997,0.3400000000000003,0.2399993896484318,1.771998596191409,0.0365920449099745,0.9999999999985744,0.0463296238813856,0.0039284589500903,0.1089424344514427,1.2199165426350065,0.0329171875163809,0.0312319625172168,0.0091470461975364,0.0211250091386215,138.5,1.0,0.0003957387310741,0.0033969220423512,-0.106805720639546,0.0094874801820663,11111.0,0.5128205128205128,0.0929833978758483,0.0,-0.1426000471598827,-0.0011445296148234,88136.0,0.1858974358974359,0.2447082251804709,-1.0
2023-03-23,8733.787,2182.5508,259.587,6310.479399999999,24.243369565217392,3.592,104.1699996948242,495.5460000000003,470.4255999999996,4.564994847384433,3.202108503270491,-0.3740000000000001,-0.1879999999999997,-0.9220001220703152,0.5720001220703068,0.0091470461975364,0.9404494381980204,0.0145615183246073,0.0319269276874503,0.1208509077571979,0.8564396524825839,0.0127538006649937,0.0211250091386215,0.0149214659685863,0.0197300460244011,228.0,1.0,7.146120706687931e-05,0.0026040637719867,-0.0196697132750986,0.0871360073644474,39818.0,0.8782051282051282,0.0654406270292141,1.0,-0.0988908593703449,0.0437091877895378,161118.0,0.391025641025641,0.1925511880905564,0.0
2023-03-30,8705.942,2241.3462,183.577,6291.6492,24.01646153846153,3.462,103.0259994506836,-18.830199999999422,478.54019999999855,-0.2269080267558543,2.076461538461537,-0.1300000000000003,-0.4330000000000003,-1.1440002441406136,-1.2814994812011662,0.0149214659685863,0.9999999999971388,0.0225367552231106,0.0577182123552781,0.1555886736214604,0.7908703489824805,-0.0074555427518656,0.0197300460244011,0.0057228527211761,0.0200685088627682,88.75,1.0,0.0001555906734577,0.0018427195844534,-0.1416119064018317,-0.1219421931267331,4407.0,0.282051282051282,0.1132792866583518,0.0,-0.2148431483407437,-0.1159522889703988,-106884.0,0.0256410256410256,0.2215732397086093,-1.0
2023-04-06,8632.384,2246.446,168.793,6281.018799999999,22.090532150776053,3.516,102.63800048828124,-10.630400000000918,486.3629999999994,-1.9259293876854853,0.8651457871396886,0.0539999999999998,-0.4600000000000004,-0.3879989624023494,-2.2139999389648466,0.0057228527211761,0.4099099099080635,0.0142337345921425,0.0677586088861503,0.1034915805858214,0.7953679012745272,-0.0054353469462236,0.0200685088627682,0.0025005209418629,0.021523170758056,39.0,0.0,1.856164132193327e-05,0.0016786867533336,-0.1858193153212101,-0.0442074089193783,-9698.0,0.1602564102564102,0.1105082835773421,-1.0,-0.2102587394829318,0.0045844088578119,-151505.0,0.0384615384615384,0.2003312433013791,-1.0
2023-04-13,8614.797,2290.606,109.208,6217.145,20.57429213483146,3.372,101.9719985961914,-63.87379999999848,402.2116000000015,-1.516240015944593,0.8959174169985005,-0.1439999999999996,-0.5940000000000003,-0.6660018920898381,-3.1200012207031165,0.0025005209418629,0.9999999999961166,0.0164686695553459,0.0326420764125086,0.1203403493058665,0.8400517977001755,-0.0061471526747745,0.021523170758056,-0.0086660377660169,0.0068465568472803,-135.5,-1.0,2.1711360755861788e-05,0.0017649314786591,-0.1909718932235363,-0.0051525779023261,-16485.0,0.1538461538461538,0.1407190786696872,-1.0,-0.2549263081253897,-0.0446675686424579,-261622.0,0.0064102564102564,0.2214806678224763,-1.0
2023-04-20,8593.263,2264.3122,166.555,6214.983000000001,20.88533156498674,3.418,101.82250022888184,-2.1619999999993524,-95.49639999999818,0.3110394301552794,-3.3580380002306534,0.0460000000000002,-0.1739999999999999,-0.149498367309576,-2.347499465942377,-0.0086660377660169,0.0,0.0076611667553749,0.0144142670157068,0.053972733145208,0.2854463218985238,-0.0044055706925896,0.0068465568472803,0.0101288688892113,0.0309840443661966,157.0,1.0,-6.148483635888751e-05,0.0017276696531159,-0.1524866298900913,0.0384852633334449,-30183.0,0.2564102564102564,0.1695161494083463,0.0,-0.2361242249726369,0.0188020831527528,-278649.0,0.0128205128205128,0.2380197369854776,-1.0
2023-04-27,8562.768,2285.49,291.702,6162.3958,19.73947019867549,3.568,101.84199981689451,-52.58720000000085,-129.2533999999996,-1.1458613663112445,-4.276991339786044,0.1499999999999999,0.1060000000000003,0.0194995880126924,-1.183999633789071,0.0101288688892113,0.9999999999976288,0.0269364032636637,0.0096240649987102,0.0136438675428089,1.3246654886305536,0.0098647518325318,0.0309840443661966,-0.0119752830158552,0.011564125062763,-187.5,-1.0,7.159634739448211e-05,0.0017609887612868,-0.1290505551724278,0.0234360747176635,-1196.0,0.3846153846153846,0.1575661371343227,0.0,-0.2402190033801207,-0.0040947784074837,-85597.0,0.0128205128205128,0.2596056481944379,-1.0
2023-05-04,8503.994,2266.6192,269.216,5985.576,19.821955555555554,3.49,101.6,-176.8198000000002,-295.4427999999989,0.0824853568800598,-2.268576595220498,-0.0780000000000002,-0.0259999999999998,-0.2419998168945341,-1.0380004882812557,-0.0119752830158552,0.0,0.0178735920102134,-0.0081427220414509,0.0295835343837873,0.5282466972521231,0.0045012695823702,0.011564125062763,0.0260346805863054,0.0195406688188171,402.75,1.0,-5.399212144138719e-05,0.0016562299538286,-0.1453317935506795,-0.0162812383782517,4902.0,0.282051282051282,0.1661592382921334,0.0,-0.2096686636119611,0.0305503397681595,-24643.0,0.0641025641025641,0.2579554893339818,-1.0
2023-05-11,8503.017,2224.6544000000004,197.666,5968.1588,19.335774336283187,3.444,101.70399932861328,-17.417199999999866,-248.98620000000028,-0.4861812192723675,-1.2385177985482727,-0.0459999999999998,0.072,0.103999328613284,-0.2679992675781335,0.0260346805863054,0.999999999994498,0.0114506221452197,0.0151415825911773,0.0523960284440319,0.9143646560110212,0.0114298695897419,0.0195406688188171,0.0281934162860293,0.0165561825562837,447.5,1.0,0.0002121999522253,0.001527918795901,-0.1341491049172898,0.0111826886333897,10005.0,0.358974358974359,0.1689834892207193,0.0,-0.1983495853786698,0.0113190782332913,108689.0,0.0897435897435897,0.2580653839461641,-1.0
2023-05-18,8456.76,2221.0564,116.22,6080.696599999999,20.8620728929385,3.462,101.5520004272461,112.53779999999917,-134.28640000000178,1.5262985566553129,-0.0232586720482395,0.0179999999999997,0.0439999999999995,-0.1519989013671789,-0.2704998016357365,0.0281934162860293,0.9999999999979908,0.0304993872549019,0.0528862437702617,0.1021627918756014,0.8031037635610068,0.0137459141691791,0.0165561825562837,0.0050551470588235,0.0263475813607524,82.5,1.0,0.0002356294329473,0.0015728610449245,-0.1128046591256958,0.0213444457915939,6363.0,0.5256410256410257,0.168485141667202,0.0,-0.2161328150700571,-0.0177832296913872,28310.0,0.0448717948717948,0.257309632205943,-1.0
2023-05-25,8436.255,2251.4134,61.952,6119.4836000000005,20.10210762331839,3.544,102.8259994506836,38.78700000000117,-42.91219999999976,-0.7599652696201105,0.3626374246428945,0.0819999999999998,-0.0240000000000004,1.2739990234374972,0.9839996337890682,0.0050551470588235,0.9999999999969348,0.0198902606310013,0.0475977582270195,0.1187273006291882,1.2465275646363936,0.0159581675606755,0.0263475813607524,0.0302240512117055,0.0257442887416808,495.75,1.0,1.6670438200666845e-05,0.0017610672486954,-0.0976408196345825,0.0151638394911133,3916.0,0.6025641025641025,0.1801927515548743,0.0,-0.2088958371441417,0.0072369779259154,58514.0,0.0769230769230769,0.2625893438685446,-1.0
2023-06-01,8385.854,2201.2685,48.954,6122.8896,19.974830699774262,3.736,103.597998046875,3.40599999999904,137.3135999999995,-0.1272769235441231,0.1528751442187115,0.1920000000000001,0.246,0.7719985961914091,1.997998046875012,0.0302240512117055,0.9999999999941775,0.0101637743553326,0.0923415051956237,0.1568597247894845,1.2295185366372885,0.0158253170344904,0.0257442887416808,0.0018197150592516,0.0214011589372906,30.75,0.0,0.0003011331851391,0.0017613341041307,-0.1188165962259658,-0.0211757765913833,2060.0,0.4743589743589743,0.2060871970670523,0.0,-0.2084436270864934,0.0004522100576482,-29536.0,0.0833333333333333,0.2599008265009038,-1.0
2023-06-08,8389.325,2142.3022,44.756,6135.6315,18.95976359338061,3.685,104.06499862670898,12.741899999999989,167.47269999999935,-1.0150671063936514,-0.3760107429025723,-0.0509999999999997,0.2410000000000001,0.4670005798339787,2.360999298095706,0.0018197150592516,0.6666666666640751,0.0151958178273967,0.0665616632540557,0.1180530330548492,1.0637140384450636,-0.0127905901453446,0.0214011589372906,0.0409209049559926,0.0101074555797936,692.75,1.0,-8.471622528280367e-06,0.0016889539710196,-0.1288652811641317,-0.0100486849381659,-5621.0,0.3846153846153846,0.2087058322690506,0.0,-0.2040336702223593,0.004409956864134,-59872.0,0.0897435897435897,0.24848028964379,-1.0
2023-06-15,8388.323,2086.0574,102.118,6202.2668,16.10890134529148,3.72,103.91799774169922,66.63530000000083,121.57020000000102,-2.850862248089136,-4.753171547647021,0.0350000000000001,0.2580000000000004,-0.1470008850097599,2.365997314453125,0.0409209049559926,0.9999999999984364,0.0362903797863435,0.0797640931372549,0.1532558900523559,0.5263984766471389,0.0146833319314974,0.0101074555797936,-0.0090371274135656,0.0208779384386865,-159.25,-1.0,0.0003479184430017,0.0017622063994221,-0.1199364949620384,0.0089287862020932,-8302.0,0.4551282051282051,0.2276561296508794,0.0,-0.2195471675568084,-0.015513497334449,-55956.0,0.032051282051282,0.2624504552379485,-1.0
2023-06-22,8362.06,2008.2145,276.85,6200.1476,16.22854214123007,3.774,103.13199920654296,-2.119200000000092,80.66399999999976,0.1196407959385901,-3.873565482088321,0.0539999999999998,0.2300000000000004,-0.7859985351562528,0.305999755859375,-0.0090371274135656,0.7622767857108828,0.0128274874731567,0.0646242950769699,0.1260317255610008,1.0819374816541298,0.0004505386205899,0.0208779384386865,-0.0065569076592698,0.0233042784142623,-114.5,-1.0,-0.0001054619180395,0.0016365714215309,-0.1196676775900064,0.0002688173720319,-12420.0,0.4615384615384615,0.211130892206944,0.0,-0.1753359492882228,0.0442112182685856,-29594.0,0.2115384615384615,0.2589798723005418,0.0
2023-06-29,8340.914,1952.28,390.571,6076.995499999999,16.456601466992666,3.7575,102.32500076293944,-123.15210000000116,-45.89410000000044,0.2280593257625973,-3.5182292327816,-0.0164999999999997,0.0215000000000005,-0.8069984436035185,-1.2729972839355526,-0.0065569076592698,0.8912248628852241,0.0157655061102144,0.026615182045478,0.1122830076778815,1.191032275315823,-0.0089767503694936,0.0233042784142623,0.0079403965875028,0.0192038607492458,137.75,1.0,-2.907125915362979e-06,0.0017915133048843,-0.0627629499801991,0.0569047276098073,17925.0,0.7307692307692307,0.2639517877657927,0.0,-0.1696364262254427,0.0056995230627801,125650.0,0.2243589743589743,0.3581644177667199,0.0
2023-07-06,8298.312,1916.31875,415.441,5998.063000000001,15.56784222737819,3.758,102.86600036621094,-78.93249999999807,-137.5684999999985,-0.8887592396144761,-3.3919213660024248,0.0004999999999997,0.0729999999999999,0.5409996032714872,-1.198998260498044,0.0079403965875028,0.0,0.0072487597043306,0.0328873530627915,0.1183185968053979,0.9912602067307827,0.0056772704559397,0.0192038607492458,0.0270791930572036,0.0166549711052076,473.5,1.0,5.1936861142808665e-05,0.0013967617113766,-0.0947866585408061,-0.032023708560607,14761.0,0.6282051282051282,0.2449984575912842,0.0,-0.1416682347786325,0.0279681914468101,205311.0,0.282051282051282,0.3433410693523652,0.0
2023-07-13,8296.923,1799.5315999999998,514.337,5966.55225,15.295297297297298,3.9175,103.11000061035156,-31.51075000000128,-235.7145500000006,-0.2725449300808922,-0.8136040479941808,0.1594999999999999,0.1974999999999998,0.2440002441406221,-0.8079971313476619,0.0270791930572036,0.9999999999981124,0.0294973342427996,0.0191524678309475,0.1586426025386687,0.8248895774647368,0.0077104339624172,0.0166549711052076,-0.0066400322953352,0.02552753912468,-119.25,-1.0,0.0002458539676811,0.0015385271133307,,,,,,,,,,,,
2023-07-20,8274.552,1727.9532,531.135,5983.054400000001,16.26214611872146,3.936,101.2519989013672,16.502150000001166,-217.0931999999993,0.9668488214241632,0.0336039774913921,0.0184999999999999,0.1619999999999999,-1.858001708984375,-1.880000305175784,-0.0066400322953352,0.0,0.0214405829596412,0.0216177523264138,0.1394082613485765,1.29346115888839,-0.0109718068461597,0.02552753912468,-0.0011911434977578,0.0090920005394588,-21.25,0.0,-5.822985397111312e-05,0.0015509878805227,-0.1349456015835697,-0.0094203124574887,3452.0,0.3269230769230769,0.2356001486436269,0.0,-0.1338002504387165,-0.0055960776293157,220257.0,0.3205128205128205,0.3417168965347001,0.0
