timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,call_oi,put_oi,strike_iv,score,type
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28283.62,696.0,-1959.130000000001,-6.478015392118776,-1184163.41,1184163.41,8648985.93,7854978.45,-1676467.17,-4.782894,1476.45,1007,0,1007,91.02,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28283.62,696.0,-1959.130000000001,-6.478015392118776,-1559895.22,1559895.22,32157135.72,1283294.45,-2232815.43,-6.358238,5553.93,1329,0,1329,32.49,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28324.26,697.0,-1918.4900000000016,-6.343636078068303,-643229.77,666965.19,4720143.420000001,4330381.739999999,-172862.88,-0.4977159999999996,810.1899999999999,562,10,552,88.68,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28324.26,697.0,-1918.4900000000016,-6.343636078068303,-259963.76,259963.76,5247024.98,209203.38,-377711.75,-1.167768,925.11,204,0,204,32.47,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28364.9,698.0,-1877.8499999999985,-6.209256764017818,-510833.2899999999,810618.09,3765045.9999999995,5149085.24,8220040.32,23.914265,959.2,676,125,551,86.38,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28364.9,698.0,-1877.8499999999985,-6.209256764017818,-411883.84,411883.84,8216392.05,324138.29,-597511.91,-1.951252,1450.85,306,0,306,32.14,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28405.53,699.0,-1837.2200000000012,-6.074910515743446,-1640286.24,1640286.24,12138611.58,10188654.2,-2127883.37,-6.263315,1890.42,1352,0,1352,84.13,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28405.53,699.0,-1837.2200000000012,-6.074910515743446,-77197.54,77197.54,1539822.51,59393.92,-109578.95,-0.366485,265.98,56,0,56,31.44,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28446.17,700.0,-1796.5800000000017,-5.940531201692973,-4169642.43,4258148.99,30970742.299999997,25851452.86,-2687209.3499999996,-8.014159000000001,4779.11,3464,36,3428,81.93,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28446.17,700.0,-1796.5800000000017,-5.940531201692973,-994582.7899999999,1079749.0899999999,19770896.35,811716.36,725497.7499999998,2.4800180000000003,3648.67,758,30,728,30.838021108179422,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28486.81,701.0,-1755.9399999999987,-5.806151887642488,-1423360.55,1423360.55,10607287.23,8441502.81,-1742873.84,-5.274833,1555.5,1141,0,1141,79.78,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28486.81,701.0,-1755.9399999999987,-5.806151887642488,-167187.26,167187.26,3272141.25,122718.74,-234216.17,-0.863656,560.59,110,0,110,30.6,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28527.45,702.0,-1715.2999999999993,-5.6717725735920155,-1189509.6700000002,1197118.47,8890255.1,6931801.73,-1201206.13,-3.695696,1273.7,944,3,941,77.67,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28527.45,702.0,-1715.2999999999993,-5.6717725735920155,-187965.15,187965.15,3594615.43,134623.01,-267479.53,-1.069982,629.68,114,0,114,30.57,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28568.08,703.0,-1674.6699999999983,-5.537426325317632,-1053919.8499999999,1056502.99,7896178.199999999,5969475.11,-1147487.3800000001,-3.595662,1094.26,818,1,817,75.61,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28568.08,703.0,-1674.6699999999983,-5.537426325317632,-188096.07,567585.8500000001,3540278.1500000004,396596.31999999995,7772126.14,31.045274,1852.69,337,115,222,29.78032640949555,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28608.72,704.0,-1634.0299999999988,-5.403047011267159,-2180178.99,2198632.75,16366497.959999999,12114759.19,-1951202.4100000001,-6.239826,2216.52,1668,7,1661,73.59,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28608.72,704.0,-1634.0299999999988,-5.403047011267159,-243425.05,243425.05,4594730.76,165796.16,-337365.02,-1.465008,786.5,136,0,136,29.48,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28649.36,705.0,-1593.3899999999994,-5.268667697216686,-675452.05,2589906.9699999997,5077935.49,13908180.0,50007005.24,163.569055,2541.13,1921,710,1211,71.63,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28649.36,705.0,-1593.3899999999994,-5.268667697216686,-8003191.76,8054614.76,149786156.07000002,5344676.399999999,-9999606.190000001,-45.547976,25582.7,4299,14,4285,28.979185857176088,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28690.0,706.0,-1552.75,-5.134288383166213,-1459685.16,1506682.5999999999,10983429.03,7880348.069999999,-337440.99,-1.1316349999999993,1438.63,1090,17,1073,69.7,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-08,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28690.0,706.0,-1552.75,-5.134288383166213,-474918.65,474918.65,8743948.46,306773.19,-652231.94,-3.157605,1493.62,238,0,238,28.7,,
2026-06-04T08:00:40 ET,2026-06-04T08:00:00 ET,2026-06-04,Thu,0800ET,2026-06-04,30242.75,744.21,30225.9,NEAR_FLIP,EXPANSION,,,5.83,10.06,15.19,18.43,28730.63,707.0,-1512.119999999999,-4.99994213489183,-929245.21,934928.6699999999,6994119.24,4759244.5,-818866.36,-2.822794,868.66,658,2,656,67.83,,
